title,date,source,link,month
New York to require social media platforms to display mental health labels - Al Jazeera,2025-12-26 08:00:00,Al Jazeera,https://news.google.com/rss/articles/CBMitwFBVV95cUxQZzVYSm9OdE5TbFpNMmJ6WEdVTWtVOGhyTTZUZ3hqeElKdjgzcW1BdVZNd2ZBdThfT3JmMzM2S3BwRnN5ZERIRWNfVEN3ZUxXeTQ3WlREeVE5dnNBTzJrX0ZnWk4ydkFnUURUNG9oZkRHRDQ1Nkt0d1NsU1lUbHBFWFVrS1BmSTAyVklRQUVCUC1TX21fZm1kU2dQM2VnRUV6STEtWVNoRTI4UjFxclVzXzJiM1d4cmvSAbwBQVVfeXFMTzhhM1daVFhuNi1hNWdzQmNUdFl3ZWoybDQ5MjF5dFFMYjRnWnpjMWttY2kxTWtoLXUzRG9wX2RiNjgxdWZ3ZEN5eGg4alc2eHM3SDJOakpIXzVJckFidFdIZjkzYVh0UjNCNlNwb2FiUF9PYmk4NUt0dFlZUC1faUsxTG1jRmxXU3dManAtcFNSWEtxa3VsbEdhXzdTMmN3TXd0UGJtNnpvdG4wVWl1RjdZd2Y0dk5Zc1dXeXA?oc=5,2025-12
Mental health effects of social media for users in the U.S. 2025 - Statista,2026-03-12 07:00:00,Statista,https://news.google.com/rss/articles/CBMikAFBVV95cUxOUHVrLTdzWmxIakZJWEtOWW1lc3JfSXJPM3RMbm5GNjVYR3lldnlyaDFoT05BX3NzQmEwakRXaHA4M1p3Z053VVoyX0VrMkJSTExabEJIa3JlNS1aVVNsVmVWV1d0a0Q4U3RVSGlPVFZQTnloZE9ZYXVoSHdrOUxIMldYTUE2Z3pseHBTOXdaWTY?oc=5,2026-03
Behind the screens: Social media’s mental health toll on teenage girls - Türkiye Today,2026-01-30 08:00:00,Türkiye Today,https://news.google.com/rss/articles/CBMitgFBVV95cUxNSFk5RXVsLVQ4RVZMQ1JRN1JUZUk3UG9VVk02Y1B1aE5WYTFVOXRWbi1hZFpfRXQxZ0JTRldIRGx5VWxRZ1g1OGlWX2ZHaTlHU1pWcWdsc3c1bWVXMk9ERElQQ1NYaDFBSmpkckxkQlRibVFBMHItQi1Lb1pua1ZqTnBkVVpVVG1tUDBHRU96d1JxZHlTMjJVY1hQZFp1XzItUUhKUjl6LVlOZUtLSVZER0ZUWW9mUQ?oc=5,2026-01
French health agency warns of social media risks to teenagers - Le Monde.fr,2026-01-17 08:00:00,Le Monde.fr,https://news.google.com/rss/articles/CBMiygFBVV95cUxNLTdqbEZ6REZQR01zRkxwOFQ2Ymh0OVUtSVZpOWV2b3N5Z1VpOGdybHE0SWdYdG5POUUtZllwZFNCUUZVVURKUWFvaXJ6TmxGaVVlUmRXQVpET3d0d25RU3A0Rk9DN3JnTDhVWlVrbXEyQ3lqM2JUMm5FNVNUR1kxMGx3QlZJM3htOG1mQ0hoc0cxdUtUdzFMUFJhdW5tMTNRNVkySXE0SGNYUlRRVGtjVjR0MUZpZ0NYRDdsQ3N2b1oyNEo2X0tIYzB3?oc=5,2026-01
Mental health - World Health Organization (WHO),2026-01-08 08:00:00,World Health Organization (WHO),https://news.google.com/rss/articles/CBMidkFVX3lxTE9HaF9FSVYyMWw1bm1KSXdLTzRxRlNqZU5hV0cyOVVOZ2JWX3Y5eENPSnpIVnpLMm1FUDlLTnZkcktwMWVkYmxtVFdpZTVYYld0c2VUdmVZWXVRX29mc21JdDB0YkRVNU9mMzNaX2VDbmE4NHJ0UFE?oc=5,2026-01
"AI and social media benefit teen mental health if they help design it, psychology study finds - University of California, Berkeley",2025-12-03 08:00:00,"University of California, Berkeley",https://news.google.com/rss/articles/CBMivgFBVV95cUxPNGQtVDRBVGhKVkdZX1V1TThFVDhwSHRNZFoyM09Va19CMGJuOW5DZnlzVzFPd2lZVExJOWdpN3dRMHNQdjBTVkFyTy13T1J2SlpCcUR3Z1h6NGtna2Fjc0J4dkllUDFiOWYzSXJITUhzUWd0cjk3MXowbDVpZFlkazVZVnRFNjBoQzZZUmZ4T191Mm5HQzBLRzVpdmFjMHRjNmlKUzZkY1hoVlloNGRKT1pIUExHQlh3YzU1YWNR?oc=5,2025-12
Mental Health in the Scroll Age - Hopkins Bloomberg Public Health Magazine,2025-10-17 07:00:00,Hopkins Bloomberg Public Health Magazine,https://news.google.com/rss/articles/CBMidkFVX3lxTE95RXE1YlhqYWJwUGVIdTJ6LXUxZDdxZTZKUmJrY2FxbWk3RXY3Zm9xZmdPa2ZyTFBlN2VObG42Qk9CYzhXZkdlbjc3M1VFTEc5UEItMGlrNWE1bUlMN1JISExnb1VFQnRBTG9WMDMyTkNJbExmVWc?oc=5,2025-10
Early research shows benefits of social media break - Harvard Gazette,2025-12-16 08:00:00,Harvard Gazette,https://news.google.com/rss/articles/CBMirgFBVV95cUxOcFFJQTFyaXlwT0ZmUURXTHVMRmtER2FEZHpZN1dabTd6YzdRMW9kMFFGS2RlUDE3d1BEN0VIdkN4UW1ZUWRrWUFzNDZXWWRIZ250azBubDh2V29oaUlSR2kyQXhlV3I3TkN0TGlicmNXTlVqLWNtdUxjc1IweE1TNTNLZjNfcG5FRjM3UWZMRjB3akpPeFhCejVwVWxUOVFMQjRORkhxdzBfX0dTY1E?oc=5,2025-12
Is Your Teen’s Social Media Use Dangerous? - ADDitude,2025-09-08 07:00:00,ADDitude,https://news.google.com/rss/articles/CBMilgFBVV95cUxNeDR4VEZXYTZ6UzdCMVp3eUNPNS1NVXdPR0k2Ti16aVNGZlJYcExGeXJiWlFSTmhqZHE3blA4NjJSMzZtQUFkVlVJNEhnUFdoRlc4bW9xMDZxVXVtTjV5c1c1Y1VKbzFjbTF6UVMzYlhrUFZmdEN2azJEQkxQTlZPU1dLdGNVUjFrWUtrZWt4TFIxSEJSWVE?oc=5,2025-09
UK study tests social media restrictions on children’s mental health - Digital Watch Observatory,2026-01-21 08:00:00,Digital Watch Observatory,https://news.google.com/rss/articles/CBMimAFBVV95cUxNb2pnOVlBSUpIYUNOVV93SHI1RldfWm5JdlhuZWZaVFJ0QUtnT2FuSXVDZHM2U3RIdHlpV2VaOUw3amg1ckVvaXdEd3JqalUxRkFmVTlXLTFMeHhhMndKczNtRXI2ellvNTRmX2hONWE1cnpJZlNPWDQ4VEhNMENVbjliak9XRHNRQWtqdlEwcnRpRGlLRmN0Wg?oc=5,2026-01
Meta and YouTube head to trial over harm to children after TikTok settles - NPR,2026-01-27 08:00:00,NPR,https://news.google.com/rss/articles/CBMilwFBVV95cUxQZWh5b2p1azRlNUxGOWxkeUlRRFFFTHpjYXE1cnZGbEo1S3VScHF6S3NBMEZQSVNPdW5zWnNkdnNPTUl5UnFINVdjUF9vbXhLNHlPZFpFdnBlTENORG9VWFU0N21ucFdiMTdhRllWUWRvbG4zVnp1cm9aYkl1ai1uNjFpdHhSUjd5b2lna2xrbXVSRGZTblk4?oc=5,2026-01
Excessive screen time is associated with mental health problems in US children and adolescents: physical activity and sleep as parallel mediators - Nature,2026-01-31 08:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTE1RdURvdkhNTUYtclVBWkFUOHRUT3BoTHJqZWkzc1NScmxEc0ZwUFZETXBscl90TUItUFBMcEpuamIyTEwyd05UTnQzZUpMd3R0WnJ5MWtndFJVUWRKLWNN?oc=5,2026-01
A Legal Decision That Could Change Social Media - The Atlantic,2026-03-25 07:00:00,The Atlantic,https://news.google.com/rss/articles/CBMimwFBVV95cUxOYWR1Tm9xS1h3cHpINTFmTGkwVmZDMGU0RS1Pa0ktTVpOMWVSYnZVOHNMNUpQYmx3dTBqUU53S2F0RXliN1FRSGd6X29Pejc3LU10V0ZqZDl6VWUybjliSExSNUtNeG5MTFBHemtMNFlFSVJHd1hsWDJ2dElqVWoyTmNIV2ZITzlNVTN4a0EyOTl5SEJZTEY3cE9rSQ?oc=5,2026-03
"A New Study On YouTube, Mental Health, And Social Media Influencers - Forbes",2025-12-01 08:00:00,Forbes,https://news.google.com/rss/articles/CBMitgFBVV95cUxOazRQUFM2RmpOcjlWb003Tlg0b3NORGREa2JwODJUekkteUtRQnZUM0NBSHRsdmswWnZGLTNJVUtaOUlQM2tKOGlscGJsV0Z2WUpjXzJUMzJlM0tUbkZrSjRuckJDU0NBUlNIRGhkQUwtZGZWOFVHUzZUSnJGeklLVHhqZzQ0eDlJY0JJR2tfMW9WYmFNTzZIMG1TNmItVHNjc2Zhc0pfS0k4NEE5V2VpeUNXSmxoUQ?oc=5,2025-12
