title,date,source,link,month
"Evidence for link between digital technology use and teenage mental health problems is weak, our large study suggests - The Conversation",2026-01-14 08:00:00,The Conversation,https://news.google.com/rss/articles/CBMi5gFBVV95cUxPaDM1R2NEbEtfRzNVRDR3WDg4SzBZQktyVE00V0JrNWlMZzJUWUlSLV9LTjJiNVhDN20wWWd1YjJmLVJTZ3h2dzA3TGloRHlwb0hpQUZ5WHg1QW1BQkZMa3g3MUpTNHVGcXhyaElxcG5NSWhOOS1xeG1GZEtUak94d0xIWndiLThyTm1JYnUyQWp4QUtRTnhQSjdQeUloaGxfNnhQanRYbDBPdEFWMEk3b3B5ZnRVUFNybWkxZURnOC10VmZFNlZ3NHk4Y2ZSNk1jWlB0WVlIZE9udXdTNlZ1akpJSnhkdw?oc=5,2026-01
Excessive social media found to harm teenagers’ mental health – but experts say moderation may be key - The Guardian,2025-06-25 07:00:00,The Guardian,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPckxaaWI3ZEM4Wkx2d2VrS2JIY09yaGxvbDBFOHBFaFJjWWZzQTNmU1JzRnNPcXM4WW5IelRCM2syY2R1eXRYbkJwaDE4T3ltQmE4ZXN4TXJBY0FMLTVUT19rZWl5MHNqU0g4SlBpYlpVcks1UVh3ZWw1ZC1uWnFJMEVyQUlhV1lYOVlLLWdLckFNcXpTc1MxbUNZRzZKbjRGZTdJQmt5NU1RMEhVRVpwSE1OREdzVXRGWHVtSm9HRVVOSUZkdlpWc1ZONlJhMXZSbU11RXhpcXZEU0FO?oc=5,2025-06
Is the UK falling out of love with social media? - The Guardian,2026-04-05 07:00:00,The Guardian,https://news.google.com/rss/articles/CBMijwFBVV95cUxORWpkZWJFRnVjdjBjMHktYkpKbW5rZkJnX093WFVwZjZMc1pGdjNHVjMxM1JSN1dHVmFfLWpEelVrbUxHWTdPa0RnSEduc3J6ZHJkSHRKa2d0cXhXMGJMVWJLTmVnNkFXU0RRMTNIaWZZR28yNWFnZHRkenRCMWE3TUtFcWYyOFBYN0g5dU12Zw?oc=5,2026-04
Children’s social media addictions linked to mental health problems in new study - The Independent,2026-02-12 08:00:00,The Independent,https://news.google.com/rss/articles/CBMirwFBVV95cUxPdDFrc3Vlc05BQ0pGc3lTQkNLWEpyMHNNOTJxM0d2eHRRWHhLQ1FKa2ZlN1pGeXhycnZsTGFYbTdsS1BHb0tqOWNEdTBZblYtS1JaZlNxS0Z6bnJnNlVlZVZfU1hKY0FMT1o5S1BlU0tCU19EVUpmUk9NR3o2bzM1NGxFRS1CSWNIOGQ5U2FVMGgyVnROTUFaYUYzX2pPc3hPdC1XVm83UVM3OUlfcnNZ?oc=5,2026-02
Social Media and Youth Mental Health: Does More Use Always Mean More Harm? - Yale School of Medicine,2026-03-30 07:00:00,Yale School of Medicine,https://news.google.com/rss/articles/CBMiggFBVV95cUxNUGt2VElzX05xT0FtZ3Bic1cxVmpEa1BlNVRqQlJjRUg3UVZBRThyYUMwdDgtWWRrenBQTDVYNFFlNEhnbDNzV1M1MWxRWXRSQTJWdlBkcGYtbkM2OUl2V1Fad1lGMmdhZlY2Q3RnVzJCVGRMUHRPNHBWa19TQ1ZwYVFn?oc=5,2026-03
Multi-label mental health classification in social media posts with multi-perspective prompt ensemble and auxiliary self-supervision - Nature,2025-12-05 08:00:00,Nature,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBkaEw2VFhDcUQ4cjdhMFZadV9xdTAzdEsyVUhadjlIQ1BfUC02SUJlYkc5dHBGVnAtcjdtN3ZoQ2RCdVRQVVJ5WVpjSlAyTnJwTllqWElDZTl4aks0ZFRr?oc=5,2025-12
"‘It’s the most urgent public health issue’: Dr Rangan Chatterjee on screen time, mental health – and banning social media until 18 - The Guardian",2026-02-16 08:00:00,The Guardian,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPRWJmZGZJSlNzRVFfZDZiVmg1ckNnZ0g4emQ1VlloUmlnYmg5cWM2dWk2dkhxbWpMc0lxYzd2b3l0b1E4QkpqY3Y3NTdwNFNlWHA1OFV3akk3R2ZjcnhpdnBOZWRBV3VxUjBJUnIwTEc0S3ZzRDBkb0NXSDNBa0p0RjY0N1pGeDJpS0VnT3hod1dYTHc1dVp3Tmtyd3N5My15dVJRbWkzaHhiUjBJbUJIaXZkcFNlWURYT3lOX2ZjMkgxbFN0OHZTYnVZWEo3THBVcUxHVW9WSkZBZjg?oc=5,2026-02
Adults less active on social media and fewer believe it’s good for you - The Times,2026-04-02 07:00:00,The Times,https://news.google.com/rss/articles/CBMimAFBVV95cUxPTkU2MmpNRUxpR3B5cWtKN1JxbE9JUFM0SUo4QzRfeXk2X2l5UmNNWWJXWU1kZFBDWjRlc1ZnenFwTnJwVndaeXY3Y09vNWhIdW9xdmpjMi1oNnczZzdfVENFQ1NEdWdPMnIxMF9sQlFSaDdzQUxlTWQ5R2wtMWhFQUpTWkR0dDE2ekVROWhLYmo2ZVFvVjJQNA?oc=5,2026-04
Is social media addictive? What young adults say - BBC,2026-03-26 07:00:00,BBC,https://news.google.com/rss/articles/CBMiV0FVX3lxTE9hWVhpZnJPN3F6dTdHcGpJSDI2a21HNmZpVkJmTmRkb3IyUi1xOGJxYTdqYmhBZFBYUEhDMl9Pb0lFelNDT1dFdjBESnZUaWt2bTBBaGo1cw?oc=5,2026-03
Meta and YouTube found liable in social media addiction trial - BBC,2026-03-25 07:00:00,BBC,https://news.google.com/rss/articles/CBMiXEFVX3lxTE5wVU50ckhJbmVUbXgwZjd4U2dZSGxDQldBX2JQcVpySHRMM212WFVLWlNIazQ0ODRQZjYtZ25EekZCTGpSazVBRy1mTV9fYkV5WHpOT0dCT2Zhc1lI?oc=5,2026-03
